FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
H,0.8421052632,1.421052632,W,L,W,W,L,D,-0.7368421053,-0.1052631579,0.1052631579,5
NH,1.315789474,1.526315789,L,W,L,W,D,D,0,0.3157894737,-0.05263157895,-3
H,1.684210526,1.368421053,W,L,W,D,D,W,0.3157894737,0.2631578947,-0.1052631579,-1
H,1.578947368,1.842105263,W,L,W,D,W,W,0.4736842105,0.8421052632,-0.05263157895,2
H,2.105263158,1.736842105,L,D,W,W,W,L,1.578947368,0.4736842105,-0.1052631579,-17
H,1.526315789,0.9473684211,L,W,W,D,W,L,0,-0.3684210526,0.4210526316,-11
NH,1.315789474,0.7368421053,D,D,L,W,L,L,-0.05263157895,-0.4210526316,0.2105263158,-2
H,1.842105263,1.684210526,D,W,W,W,L,W,0.8421052632,0.3157894737,-0.1052631579,-6
NH,1.45,2.15,L,W,D,W,L,D,0.25,1.6,-0.2,5
NH,0.6,1.6,L,L,D,W,L,W,-1,0.05,-0.35,10
NH,1.1,0.8,L,D,L,D,L,W,-0.5,-0.85,-0.05,-1
NH,1.65,1.3,L,W,W,W,L,W,0.35,0.5,0,13
NH,0.9,0.95,L,D,W,W,W,L,-0.4,-0.6,-0.25,2
H,0.75,1.65,D,W,L,W,W,L,-0.4,0.65,-0.2,8
H,1.35,1.25,L,W,L,L,L,W,-0.2,-0.05,0.2,8
H,1.3,1.25,L,D,D,W,L,D,0.2,-0.2,0.2,-9
H,1.05,1.3,D,L,W,D,D,D,-0.4,-0.05,-0.1,5
NH,1.75,1.6,L,D,W,W,L,W,0.6,0.05,-0.25,-5
H,1.619047619,1.238095238,D,L,W,L,D,D,0.3333333333,-0.1428571429,0.1904761905,8
NH,0.9047619048,1.19047619,D,L,D,L,W,L,-0.380952381,-0.4285714286,0.04761904762,0
NH,0.8571428571,0.9047619048,W,D,W,W,D,L,-0.3333333333,-0.7619047619,0,-2
NH,1.428571429,2.19047619,W,L,W,W,W,L,-0.1428571429,1.571428571,-0.1428571429,10
H,1.142857143,0.9523809524,W,D,L,D,W,W,-0.2857142857,-0.5714285714,-0.1428571429,-1
H,1.19047619,1.80952381,L,W,L,W,L,D,-0.4285714286,0.8095238095,-0.2857142857,16
H,1.285714286,1.380952381,D,W,L,L,L,W,0.4761904762,0.1904761905,0.2380952381,-1
NH,0.9047619048,0.9047619048,W,D,L,D,L,D,-0.7619047619,-0.380952381,0.09523809524,-4
H,0.9523809524,1.047619048,D,W,W,L,L,D,-0.5714285714,-0.5238095238,0.4285714286,3
NH,1.238095238,0.8571428571,D,L,L,W,D,W,-0.04761904762,-0.3333333333,-0.1428571429,-9
NH,1.590909091,0.6818181818,L,L,W,W,L,L,0.04545454545,-1,0.09090909091,-9
H,1.636363636,1.227272727,W,L,W,W,W,D,0.5909090909,-0.2272727273,-0.04545454545,-11
H,2.136363636,1.318181818,D,W,W,L,W,L,1.5,0.3181818182,0.1363636364,-8
H,1.636363636,1.681818182,D,W,W,W,D,L,0.1818181818,0.4545454545,0,-11
H,1.181818182,1.409090909,L,L,D,D,W,L,-0.2727272727,-0.1363636364,-0.1818181818,-1
NH,1.772727273,1.363636364,D,W,L,W,D,W,0.7727272727,0.5,-0.09090909091,-3
NH,1.318181818,1.636363636,L,L,L,W,L,W,0.04545454545,0.5909090909,-0.2272727273,2
NH,0.6818181818,2.136363636,W,L,L,D,W,W,-1,1.5,-0.1818181818,16
NH,1,1.181818182,L,L,L,L,L,D,-0.5454545455,-0.2727272727,-0.09090909091,3
NH,0.8636363636,1.318181818,L,D,L,W,D,L,-0.5,0.1363636364,-0.09090909091,15
